Graph Name,$V(G)$,$E(G)$,Graph Density,LB,UB,Melhor Fitness (ACO-FL),Tempo do Melhor Fitness (ACO-FL),Melhor Fitness (FL-GA),Tempo do Melhor Fitness (FL-GA)
path8-order200,200,199,0.01,-1,350,271,0.0979,295,0.129
path10-order250,250,249,0.008,-1,437,338,0.1446,367,0.093
path6-order150,150,149,0.0133,-1,262,203,0.0605,222,0.053
path5-order125,125,124,0.016,-1,218,169,0.0427,186,0.017
path4-order100,100,99,0.02,-1,175,135,0.0303,147,0.009
path9-order225,225,224,0.0089,-1,393,303,0.1223,332,0.094
path7-order175,175,174,0.0114,-1,306,235,0.0795,259,0.092
path3-order75,75,74,0.0267,-1,131,100,0.0179,110,0.012
path1-order25,25,24,0.08,-1,43,35,0.0033,37,0.001
path2-order50,50,49,0.04,-1,87,68,0.0093,74,0.004
